,Unnamed: 0,individual_id,taxon_canonical_name,study_id,timestamp,latitude,longitude,sex,common_name,wiki_url
218445,218445,36122565,Passerculus sandwichensis,36121409,2010-10-12 22:35:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218446,218446,36122565,Passerculus sandwichensis,36121409,2010-10-12 23:10:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218447,218447,36122565,Passerculus sandwichensis,36121409,2010-10-12 23:45:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218448,218448,36122565,Passerculus sandwichensis,36121409,2010-10-13 00:30:00.000,44.49135866,-67.52835483,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218449,218449,36122565,Passerculus sandwichensis,36121409,2010-10-13 01:15:00.000,44.358583,-67.861302,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218450,218450,36122568,Passerculus sandwichensis,36121409,2010-10-03 22:58:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218451,218451,36122568,Passerculus sandwichensis,36121409,2010-10-03 23:53:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218452,218452,36122568,Passerculus sandwichensis,36121409,2010-10-04 00:49:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218453,218453,36122571,Passerculus sandwichensis,36121409,2010-10-12 22:54:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218454,218454,36122571,Passerculus sandwichensis,36121409,2010-10-12 23:40:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218455,218455,36122571,Passerculus sandwichensis,36121409,2010-10-13 00:26:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218456,218456,36122571,Passerculus sandwichensis,36121409,2010-10-13 01:10:00.000,44.51092736,-67.5393239,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218457,218457,36122571,Passerculus sandwichensis,36121409,2010-10-13 01:54:00.000,44.417071,-67.911129,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218458,218458,36122574,Passerculus sandwichensis,36121409,2010-10-24 22:33:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218459,218459,36122574,Passerculus sandwichensis,36121409,2010-10-24 23:26:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
